region,01.01.2025,01.02.2025,01.03.2025,01.04.2025,01.05.2025,01.06.2025,01.07.2025,01.08.2025,01.09.2025,01.10.2025,01.11.2025,01.12.2025,01.01.2026,01.02.2026,01.03.2026,01.04.2026
Санкт-Петербург,944 175,656 000,763 158,592 968,619 182,625 000,666 667,666 667,582 011,560 797,700 000,1 114 286,705 882,792 254,1 000 000,857 532
Москва,872 222,500 000,600 810,819 405,689 444,628 429,596 386,645 690,744 167,585 185,741 250,750 000,763 889,740 000,1 000 000,816 497
Севастополь,625 000,638 893,626 030,660 500,666 667,720 000,704 167,800 000,721 576,731 707,750 000,666 667,715 939,750 000,760 000,722 222
Краснодарский край,450 000,450 000,416 667,439 697,400 000,392 927,330 000,388 889,384 615,438 048,399 938,447 969,409 545,400 000,357 143,355 422
Ростовская область,333 333,300 000,314 103,300 000,333 333,325 000,300 000,291 667,283 333,283 317,297 193,333 333,250 000,300 000,300 000,352 000
Республика Дагестан,438 750,454 780,445 000,466 667,444 444,435 417,450 000,430 000,473 361,452 273,415 881,410 049,375 000,416 667,360 000,350 000
Московская область,250 000,214 225,250 915,271 429,250 000,246 530,263 636,250 000,261 905,288 000,279 167,309 091,270 000,260 000,312 013,334 350
Республика Адыгея,357 143,344 457,333 333,350 000,350 000,328 767,330 975,328 571,300 000,333 333,334 667,372 500,291 667,295 000,350 000,322 962
Сахалинская область,190 506,148 333,158 333,139 399,155 556,151 904,284 720,202 781,175 333,157 539,175 000,143 590,169 946,145 291,160 000,316 667
Ставропольский край,416 667,400 000,390 000,391 667,433 333,361 180,400 000,410 000,400 000,515 625,316 667,333 250,297 922,450 000,275 000,312 500
Ленинградская область,310 000,299 184,250 000,265 093,262 411,280 000,231 917,249 167,266 125,276 894,275 000,308 333,218 478,300 000,305 087,305 000
Республика Северная Осетия,170 000,236 667,205 064,257 143,237 500,213 333,229 083,200 962,214 921,214 286,200 000,216 667,200 000,206 250,196 452,303 333
Тюменская область,203 333,185 185,180 000,200 000,197 628,187 054,183 749,183 130,191 923,194 175,185 714,200 000,187 500,187 550,187 500,188 462
Чувашская Республика,146 615,109 167,138 750,120 000,133 333,103 391,145 833,145 000,92 894,148 148,160 530,95 455,134 167,143 893,128 286,183 036
Республика Татарстан,290 000,290 000,289 108,244 617,231 125,212 917,158 333,140 000,162 500,216 026,117 647,105 833,62 312,50 000,107 104,159 000
Новосибирская область,200 000,180 657,189 474,193 750,175 827,170 000,167 424,180 000,220 000,200 000,185 185,193 333,255 000,200 000,174 166,156 545
Саратовская область,131 759,149 167,158 167,150 000,133 333,140 000,140 105,141 667,125 000,150 000,125 000,115 833,159 167,187 500,174 076,150 000
Карачаево-Черкесская Республика,166 667,209 792,166 667,181 250,166 667,171 569,177 083,177 381,173 333,171 569,187 500,216 667,163 636,175 000,168 333,147 917
Магаданская область,95 833,93 526,80 838,90 463,81 522,63 636,87 996,58 667,96 677,133 929,176 645,,80 645,80 000,60 532,136 547
Калининградская область,160 769,146 728,150 000,160 000,161 538,150 000,150 000,150 000,151 190,143 750,156 250,166 667,162 500,154 167,175 000,135 833
Тамбовская область,76 389,70 000,75 000,74 800,77 389,83 667,80 000,77 683,70 000,83 333,57 083,100 000,61 579,78 667,80 000,132 692
Республика Марий Эл,94 925,100 000,86 538,95 767,86 691,83 333,86 667,90 000,83 333,90 818,100 000,104 167,93 333,68 376,83 974,131 709
Иркутская область,140 000,126 929,125 000,132 705,133 333,129 412,131 579,133 333,126 000,153 977,120 000,123 884,125 000,130 000,139 697,128 205
Курская область,62 500,59 633,75 000,55 500,72 727,66 667,75 000,79 872,82 192,87 500,100 000,100 000,81 818,100 000,92 308,126 168
Астраханская область,100 000,100 000,100 000,115 000,100 000,102 941,102 564,110 000,125 000,111 111,104 167,108 542,100 000,99 250,100 000,120 752
Хабаровский край,87 731,77 273,107 143,96 491,92 857,100 000,104 444,89 844,85 000,100 000,66 104,110 000,123 214,95 553,99 576,117 000
Республика Калмыкия,125 000,133 333,91 667,115 985,129 167,157 143,162 500,125 000,116 667,175 000,133 333,133 333,116 667,250 000,125 000,116 667
Амурская область,175 000,136 220,112 222,137 500,130 000,131 579,115 044,160 000,183 578,150 000,216 667,166 667,98 333,137 339,158 328,115 590
Мурманская область,111 264,63 333,78 571,61 538,83 158,81 967,51 087,106 680,90 732,64 286,136 500,100 000,57 500,67 659,85 938,115 000
Белгородская область,90 000,96 026,92 105,90 000,100 000,94 156,88 667,93 333,95 000,102 941,113 333,97 675,101 500,99 415,106 667,112 179
Республика Ингушетия,200 000,150 000,158 750,118 750,183 333,145 833,161 250,150 000,171 429,167 917,160 870,156 863,155 000,150 000,120 833,111 111
Камчатский край,133 333,181 250,175 926,175 962,194 138,125 000,166 667,160 000,158 333,133 333,164 179,123 457,133 333,133 333,110 000,104 545
Кабардино-Балкарская Республика,200 000,155 354,158 712,200 000,185 714,183 542,175 001,166 667,200 000,219 091,157 778,150 000,160 000,212 500,155 001,100 000
