region,01.01.2025,01.02.2025,01.03.2025,01.04.2025,01.05.2025,01.06.2025,01.07.2025,01.08.2025,01.09.2025,01.10.2025,01.11.2025,01.12.2025,01.01.2026,01.02.2026,01.03.2026,01.04.2026
Севастополь,725000,737218,784524,769231,750000,792984,736357,767500,779283,725000,800000,882353,772115,846154,891176,875635
Москва,892171,760000,951249,977500,671642,692587,555556,590000,700000,988636,675254,556902,591667,1013196,916667,716667
Санкт-Петербург,462029,442361,380000,399950,436170,344952,455851,486234,448333,446905,516667,471472,500000,426829,486667,500000
Ставропольский край,229167,229167,250000,262785,242629,241667,225000,250000,246392,267857,203252,208333,208333,245000,214195,267653
Республика Дагестан,275000,250000,230000,270000,259900,225000,220000,200000,218750,230000,186047,211250,185714,206050,220000,241667
Республика Адыгея,250000,233333,178080,200000,218310,200000,165000,186667,150000,190000,230000,233333,150000,243161,216518,240000
Краснодарский край,290604,280000,283333,284314,253448,233333,231806,187500,253220,283333,241379,320000,257732,272727,250000,228571
Калининградская область,140890,166667,136932,160000,139286,150000,138333,150000,183333,159091,140000,135682,200000,228571,150000,214865
Ленинградская область,166667,171569,191667,183333,180328,178333,200000,190722,197587,183333,191786,186102,183333,198529,192857,189650
Московская область,156250,158333,150000,159091,155019,150000,166667,149019,160000,166671,166667,162469,150000,166667,166063,170000
Мурманская область,71389,92857,75000,85000,86250,100000,102564,78889,100000,79882,88889,94541,89103,100000,100000,166667
Республика Татарстан,170714,133333,133333,160000,150000,158333,149925,150000,150000,155556,157407,150000,166667,175667,165833,160000
Сахалинская область,153333,161667,121609,180000,140000,129167,187440,154033,163636,166667,154167,144368,140000,159405,200000,155971
Амурская область,75000,67961,101796,84615,66667,85714,89643,73333,111000,138889,90000,81000,76136,135294,100000,153186
Республика Северная Осетия,310000,258333,262353,319800,263903,295000,235417,316667,300000,250000,303509,315000,178333,211538,220000,150000
Кабардино-Балкарская Республика,125000,84000,75000,114834,150000,100000,106250,87500,67500,138750,49250,64028,108333,45000,57895,133333
Новосибирская область,104692,107692,112069,110000,114120,104543,116667,106458,120000,117067,133333,100000,104224,125174,101965,127083
Чувашская Республика,86667,50000,62500,71875,80000,87750,59167,72993,69366,129038,87500,62500,73864,92814,119993,107500
Ульяновская область,116667,100000,90000,83333,64815,100000,80714,101950,91667,100000,57917,91667,75000,99000,94099,107292
Тюменская область,127772,112500,117529,120000,120000,118750,112500,106316,112500,110000,110000,100000,110000,110465,106188,105821
Нижегородская область,103774,100000,77000,104167,88889,83333,94059,88235,90000,100000,113889,81818,108333,112500,96750,102273
Республика Марий Эл,80000,75000,78363,83333,104167,65000,91667,91667,91667,90000,100000,112150,81667,118750,100000,100000
Воронежская область,86603,100000,100000,99694,90000,94000,100000,90426,95000,91987,85000,80000,112834,103476,91667,97015
Алтайский край,53079,41136,54286,48228,43249,42857,50909,46667,50000,113068,55556,82594,56555,50000,66667,95238
Иркутская область,92121,80000,78571,75000,71429,90000,87083,85000,80357,120000,101760,66667,70313,80001,80123,95000
Челябинская область,75000,75000,70000,72727,69231,84167,73684,78455,83871,79167,81483,70000,79630,90000,83333,93750
Пензенская область,77077,87500,83333,74000,80000,80476,73333,57692,74000,92500,75000,100941,95455,77273,57143,91638
Томская область,71996,65109,68752,75000,70175,75000,73958,70960,75000,62500,89552,73864,100000,70000,91667,90686
Республика Башкортостан,97015,94444,93875,90000,86207,88248,92855,80527,93750,100000,97500,95000,100000,100000,100000,90388
Ростовская область,200000,150000,216667,166667,175439,180986,186471,192738,183333,168000,150000,161667,158333,168155,168297,90000
Самарская область,69767,74000,60000,83333,91549,81997,81818,73529,94828,87500,95000,98000,131667,95539,90188,85556
Приморский край,120000,113208,114715,109872,100000,100000,100000,98387,103002,80000,72222,95000,81667,90000,65000,85167
Волгоградская область,60000,51724,50000,49200,52316,86207,77882,77684,83333,59833,85357,58889,86227,64286,83333,78730
Карачаево-Черкесская Республика,100000,78639,82833,91288,130000,63575,83250,80000,46667,106719,103571,100000,108696,128538,93333,78030
Саратовская область,86089,80000,100000,75000,82500,85714,100000,91667,96703,100000,104478,92166,109345,122438,100000,77265
Свердловская область,61072,55868,64643,69028,71797,83333,73333,83292,83333,70556,82364,82483,77143,81250,74627,75000
Магаданская область,71667,46667,50000,75472,50000,37870,83333,48828,120833,90625,23333,35000,111458,73585,67500,73585
Рязанская область,37500,50000,40000,36285,45000,55000,41667,37058,50773,42000,53810,23611,58333,43222,50000,71429
Ханты-Мансийский автономный округ,100000,100000,103826,95238,85000,83333,88944,83333,111111,100000,84167,91667,89043,107625,91667,71250
Брянская область,70000,55108,63143,86000,64000,60000,62618,86458,81903,75165,59167,40000,46000,102688,72727,70833
Калужская область,73529,69000,70833,78286,70227,75000,80357,72500,83333,69615,82909,83167,48741,62500,86667,70000
Оренбургская область,84500,85000,82820,78216,75236,79800,80000,79999,78000,91667,64000,72727,80000,81250,90000,70000
Камчатский край,66667,70000,65833,58333,97414,78397,83333,90000,98317,71744,86296,75000,51724,78635,85000,66667
Удмуртская Республика,43000,22320,29764,30000,22500,30931,57002,56250,50000,62500,46667,32083,45000,45000,66667,66667
Тамбовская область,74375,57083,35401,56250,41777,51364,44118,46667,59167,65041,73333,112245,20000,66438,50000,65741
Костромская область,87500,64500,64500,58050,58050,58050,65506,100000,84453,103704,77778,82226,118930,118466,89827,65306
Владимирская область,46667,40000,45000,37917,48518,50000,42083,50313,44375,50360,50000,38889,50000,50000,41667,62500
Хабаровский край,61625,67143,80000,52846,60172,64000,68750,65476,62500,71429,73250,64286,81818,76471,57500,62500
Архангельская область,43304,45455,41468,47947,40455,47368,42169,38551,50000,54352,47000,41667,41750,30000,69102,60422
Тульская область,38634,43638,45000,44853,44444,42373,40000,40000,47821,45962,41003,50000,45123,45000,50000,59167
Омская область,70833,61538,74938,59091,61111,50000,60000,70000,69091,97969,50000,60000,71667,68333,68333,58794
Пермский край,36162,37000,50000,47421,37500,37500,44000,43614,46738,49875,45161,44375,41667,35000,37772,56250
Красноярский край,58333,58912,50000,50000,50000,52216,55000,60000,66667,54049,54091,54508,58000,55426,56215,55556
Тверская область,39167,35103,44722,48333,26000,33333,47667,55000,45000,45000,38000,26250,31250,40833,45000,53000
Смоленская область,30000,27143,30500,28571,29900,33333,34286,37939,35606,27013,20000,35000,31458,42000,46000,50000
Забайкальский край,34762,45000,46394,37383,35088,44097,38900,37500,59167,48585,58333,56250,49858,44444,58500,49745
Астраханская область,71429,66120,67619,92857,58333,66667,75000,53333,57308,66042,65152,64702,74074,58333,83333,48000
Республика Мордовия,56250,23364,40000,44750,34615,40000,42222,40833,57500,46667,55882,46667,65333,46000,38000,47000
Вологодская область,35000,41667,36333,36667,38462,34514,34091,36111,49107,38333,40000,40000,57143,39286,38248,43939
Кемеровская область,36842,35000,36667,38333,32306,35000,39535,42000,42500,33333,30435,47000,30000,66524,38444,43142
Ярославская область,40000,25187,36364,30000,29412,37500,33333,51844,39946,40833,42857,32857,40000,46863,40474,43000
Ивановская область,58333,37500,43636,50000,35000,40906,38804,34959,41821,40882,53333,44444,45000,41667,42105,42857
Белгородская область,40000,39583,37500,41250,49104,61053,50000,62500,58333,55982,43750,36667,50000,56313,53191,42500
Липецкая область,25198,24167,40000,40000,35833,41960,43333,54527,32292,50000,48333,30000,32000,45000,50000,38750
Орловская область,31250,31250,38230,36667,23810,35000,31250,29197,50000,23429,17778,35714,31061,37037,33333,34211
Республика Хакасия,50000,44333,45833,28267,40833,28286,43482,49231,40000,50000,43817,32500,53333,28571,41667,31667
Еврейская автономная область,33607,24667,20000,19289,32895,17273,40000,46477,22667,15000,21110,20000,16500,23577,30149,30426
Курская область,44444,20000,32381,37500,25000,38500,56250,32222,45000,45000,32500,37755,52038,35000,54545,30000
Кировская область,22026,31534,33333,33333,32500,38462,24583,35294,50000,53429,47500,34491,39417,36607,46693,27778
Новгородская область,31111,19863,27500,35625,30556,28452,33333,30000,33333,46121,25758,16667,17000,16632,33639,22500
Курганская область,19880,30625,28571,20761,25000,21667,23589,33333,30000,32366,21429,29583,21780,19833,35000,18750
Псковская область,25000,13378,8974,12333,8000,11952,16667,17267,16000,19091,19861,6660,10000,16667,13333,12698
Республика Калмыкия,15313,3750,8333,3800,18868,13636,25000,32420,5833,3387,4900,3062,4800,6750,13992,11316
